header	time	ax1	ay1	az1	ax2	ay2	az2
[accel]	2814	-216	-32	16292	-128	160	16488
[accel]	2824	-176	-4	16340	-116	248	16416
[accel]	2834	-260	-16	16352	-96	248	16352
[accel]	2844	-244	0	16392	-60	212	16376
[accel]	2854	-160	76	16460	-132	152	16416
[accel]	2864	-212	-40	16380	-148	232	16424
[accel]	2874	-168	-24	16396	-168	168	16376
[accel]	2884	-172	-28	16412	-132	116	16492
[accel]	2894	-252	36	16408	-160	180	16472
[accel]	2904	-200	-24	16456	-200	212	16344
[accel]	2914	-244	0	16400	-124	224	16380
[accel]	2924	-228	0	16340	-144	260	16460
[accel]	2934	-184	-24	16476	-60	96	16484
[accel]	2944	-176	52	16360	-120	204	16484
[accel]	2954	-192	84	16392	-56	180	16436
[accel]	2964	-244	116	16368	-144	140	16384
[accel]	2974	-176	0	16244	-84	280	16272
[accel]	2984	-204	16	16384	-56	224	16484
[accel]	2994	-76	-36	16464	-64	252	16356
[accel]	3004	-208	-52	16384	-120	136	16472
[accel]	3014	-140	20	16324	-64	192	16340
[accel]	3024	-188	48	16320	-128	264	16488
[accel]	3034	-112	-88	16336	-140	192	16308
[accel]	3044	-272	72	16460	-220	128	16472
[accel]	3054	-260	4	16392	-172	180	16344
[accel]	3064	-204	8	16312	-184	240	16384
[accel]	3074	-252	68	16344	-156	232	16332
[accel]	3084	-192	-8	16352	-100	156	16396
[accel]	3094	-224	56	16372	-76	216	16484
[accel]	3104	-280	-88	16292	-92	244	16424
[accel]	3115	-272	68	16332	-60	296	16324
[accel]	3124	-172	-32	16340	-148	232	16512
[accel]	3134	-144	28	16444	-120	160	16488
[accel]	3144	-216	20	16288	-176	304	16508
[accel]	3154	-204	124	16396	-160	224	16332
[accel]	3164	-308	60	16276	-168	268	16516
[accel]	3174	-172	80	16432	-68	180	16392
[accel]	3184	-228	32	16420	-80	264	16392
[accel]	3194	-204	28	16340	-224	208	16408
[accel]	3204	-284	-8	16304	-132	228	16456
[accel]	3214	-204	60	16536	-92	168	16428
[accel]	3224	-144	120	16372	-104	196	16320
[accel]	3234	-284	-8	16388	-176	268	16308
[accel]	3244	-220	60	16384	-176	220	16348
[accel]	3254	-200	68	16456	-88	72	16380
[accel]	3264	-316	68	16336	-44	212	16424
[accel]	3274	-224	52	16404	-180	276	16348
[accel]	3284	-248	12	16476	-44	268	16400
[accel]	3294	-228	-44	16392	-164	224	16432
[accel]	3304	-244	20	16376	-96	144	16412
[accel]	3314	-188	36	16424	-200	248	16444
[accel]	3324	-152	100	16340	-136	216	16300
[accel]	3334	-116	36	16372	-116	184	16404
[accel]	3344	-200	64	16264	-16	148	16520
[accel]	3354	-204	-4	16372	-192	100	16280
[accel]	3364	-216	-4	16360	-204	244	16332
[accel]	3374	-160	20	16412	-88	204	16468
[accel]	3384	-180	76	16364	-88	304	16388
[accel]	3394	-236	-8	16364	-68	148	16384
[accel]	3404	-152	36	16452	-56	140	16500
[accel]	3414	-232	28	16356	-204	176	16428
[accel]	3424	-212	16	16456	-80	236	16484
[accel]	3434	-248	4	16320	-96	232	16336
[accel]	3444	-188	4	16312	-60	244	16404
[accel]	3454	-268	32	16276	-96	168	16224
[accel]	3464	-164	12	16296	-140	136	16432
[accel]	3474	-204	-40	16420	-192	228	16392
[accel]	3484	-220	-8	16304	-64	236	16464
[accel]	3494	-180	-28	16264	-32	140	16532
[accel]	3504	-124	-12	16312	-68	276	16428
[accel]	3514	-292	144	16280	-100	160	16460
[accel]	3524	-96	-88	16364	-176	240	16500
[accel]	3534	-172	16	16352	-56	212	16516
[accel]	3544	-216	116	16288	-208	208	16196
[accel]	3554	-164	72	16352	-192	184	16436
[accel]	3564	-172	-28	16388	-136	180	16380
[accel]	3574	-148	56	16316	8	184	16484
[accel]	3584	-240	-44	16348	-88	120	16444
[accel]	3594	-280	48	16332	-120	112	16372
[accel]	3604	-160	-28	16200	-100	232	16424
[accel]	3614	-224	-36	16476	-88	284	16364
[accel]	3624	-152	-88	16384	-192	256	16396
[accel]	3634	-228	76	16280	-104	268	16304
[accel]	3644	-172	72	16452	-92	212	16476
[accel]	3654	-220	4	16240	-112	100	16320
[accel]	3664	-244	-44	16420	-124	168	16344
[accel]	3674	-176	-16	16492	16	260	16340
[accel]	3684	-168	24	16388	-92	224	16456
[accel]	3694	-212	-24	16432	-156	192	16332
[accel]	3704	-200	76	16228	-176	124	16352
[accel]	3714	-208	84	16388	-152	240	16412
[accel]	3724	-256	144	16404	-120	128	16432
[accel]	3734	-172	-64	16416	-224	272	16392
[accel]	3744	-236	32	16312	-180	164	16304
[accel]	3755	-100	4	16356	-100	244	16520
[accel]	3764	-204	168	16384	-96	240	16416
[accel]	3774	-204	36	16264	-84	168	16508
[accel]	3784	-228	12	16376	-92	216	16348
[accel]	3794	-188	56	16404	-100	248	16296
[accel]	3804	-276	-56	16240	-108	188	16372
[accel]	3814	-208	4	16428	-120	124	16444
[accel]	3824	-268	-20	16256	-32	296	16396
[accel]	3834	-116	-60	16360	-244	172	16692
[accel]	3844	-204	28	16464	-36	216	16320
[accel]	3854	-144	64	16328	-192	84	16516
[accel]	3864	-144	56	16224	-8	80	16472
[accel]	3874	-236	24	16400	-84	312	16472
[accel]	3884	-192	0	16416	-144	120	16356
[accel]	3894	-200	84	16324	-148	144	16468
[accel]	3904	-148	4	16328	-184	148	16420
[accel]	3914	-108	56	16348	-32	292	16568
[accel]	3924	-228	28	16472	-64	196	16412
[accel]	3934	-272	-12	16452	-56	220	16328
[accel]	3944	-196	32	16320	-36	204	16412
[accel]	3954	-184	-4	16344	-152	212	16468
[accel]	3964	-180	4	16356	-160	216	16244
[accel]	3974	-272	52	16296	-164	168	16560
[accel]	3984	-240	48	16364	-92	140	16332
[accel]	3994	-220	112	16212	-124	132	16360
[accel]	4004	-276	0	16312	-120	304	16360
[accel]	4014	-296	20	16344	-120	224	16376
[accel]	4024	-164	88	16220	-156	300	16428
[accel]	4034	-200	60	16224	-48	244	16484
[accel]	4044	-208	84	16368	-144	144	16344
[accel]	4054	-176	20	16424	-152	132	16472
[accel]	4064	-220	4	16332	-84	160	16388
[accel]	4074	-128	124	16360	-148	216	16456
[accel]	4084	-168	-24	16308	-104	208	16432
[accel]	4094	-216	120	16204	-152	188	16396
[accel]	4104	-104	28	16244	-96	120	16508
[accel]	4114	-176	28	16404	-104	216	16420
[accel]	4124	-184	-48	16468	-88	204	16380
[accel]	4134	-84	-8	16308	-144	236	16432
[accel]	4144	-192	48	16240	-68	164	16316
[accel]	4154	-248	-16	16348	-36	232	16396
[accel]	4164	-204	32	16528	-164	240	16324
[accel]	4174	-176	-84	16320	-108	188	16408
[accel]	4184	-244	32	16288	-96	140	16372
[accel]	4194	-136	28	16328	-136	180	16428
[accel]	4204	-260	36	16344	-92	232	16388
[accel]	4214	-188	-8	16412	28	168	16416
[accel]	4224	-292	-36	16352	-148	140	16432
[accel]	4234	-156	52	16304	-76	240	16452
[accel]	4244	-112	36	16336	-168	276	16368
[accel]	4254	-288	12	16324	-112	216	16376
[accel]	4264	-208	12	16272	-128	192	16548
[accel]	4274	-176	-8	16428	-56	244	16408
[accel]	4284	-160	44	16404	-228	196	16332
[accel]	4294	-96	-24	16288	-132	160	16444
[accel]	4304	-192	48	16376	-148	156	16372
[accel]	4314	-276	92	16488	-180	156	16484
[accel]	4324	-176	-72	16420	-40	248	16392
[accel]	4334	-176	-20	16420	-76	332	16356
[accel]	4344	-220	32	16380	-108	212	16472
[accel]	4354	-276	-20	16304	-124	288	16444
[accel]	4364	-84	-40	16352	-112	204	16392
[accel]	4374	-252	48	16268	-124	184	16292
[accel]	4384	-296	12	16228	-124	236	16288
[accel]	4395	-204	24	16280	-108	160	16448
[accel]	4404	-212	-20	16288	-128	208	16452
[accel]	4414	-240	44	16356	-176	224	16376
[accel]	4424	-200	-36	16504	-140	144	16412
[accel]	4434	-228	-16	16292	-100	180	16348
[accel]	4444	-232	0	16400	-168	160	16492
[accel]	4454	-280	-12	16352	-180	172	16336
[accel]	4464	-184	8	16488	-96	128	16376
[accel]	4474	-212	-32	16396	-68	192	16372
[accel]	4484	-200	28	16452	-148	216	16288
[accel]	4494	-120	28	16288	-164	268	16412
[accel]	4504	-268	12	16356	-148	184	16496
[accel]	4514	-252	-16	16336	-44	212	16308
[accel]	4524	-180	-60	16300	-228	196	16356
[accel]	4534	-192	112	16436	-68	120	16332
[accel]	4544	-216	-16	16404	-152	240	16484
[accel]	4554	-148	16	16420	-140	204	16244
[accel]	4564	-156	-20	16476	-136	192	16468
[accel]	4574	-260	-36	16476	-36	168	16316
[accel]	4584	-148	-76	16292	-136	156	16472
[accel]	4594	-280	52	16396	-168	144	16344
[accel]	4604	-260	-12	16328	-188	144	16460
[accel]	4614	-232	44	16440	-36	204	16396
[accel]	4624	-252	-36	16252	-144	192	16348
[accel]	4634	-160	-24	16288	-204	248	16416
[accel]	4644	-220	12	16388	-160	216	16404
[accel]	4654	-108	24	16332	-168	304	16496
[accel]	4664	-168	32	16464	-132	196	16356
[accel]	4674	-224	-36	16304	-72	236	16388
[accel]	4684	-164	-44	16312	-160	248	16292
[accel]	4694	-124	4	16212	-116	280	16464
[accel]	4704	-180	-16	16524	-152	216	16404
[accel]	4714	-256	-100	16348	-72	216	16412
[accel]	4724	-236	12	16408	-116	148	16480
[accel]	4734	-176	40	16432	-148	60	16520
[accel]	4744	-152	20	16328	-100	136	16516
[accel]	4754	-220	-64	16216	-192	112	16384
[accel]	4764	-184	60	16380	-72	280	16376
[accel]	4774	-220	-104	16396	-160	232	16320
[accel]	4784	-112	-60	16244	-96	188	16312
[accel]	4794	-156	-24	16516	-116	304	16392
[accel]	4804	-236	4	16532	-112	208	16468
[accel]	4814	-224	28	16216	-72	232	16572
[accel]	4824	-152	52	16540	-164	280	16304
[accel]	4834	-192	-8	16368	-84	248	16484
[accel]	4844	-252	-16	16312	-96	232	16504
[accel]	4854	-220	36	16292	-188	224	16464
[accel]	4864	-172	-12	16256	-100	276	16412
[accel]	4874	-228	56	16328	-160	160	16408
[accel]	4884	-204	4	16484	-88	196	16420
[accel]	4894	-152	32	16336	-64	276	16512
[accel]	4904	-112	16	16344	-96	212	16340
[accel]	4914	-108	24	16332	-168	248	16424
[accel]	4924	-164	52	16364	-28	168	16440
[accel]	4934	-132	84	16252	-160	120	16424
[accel]	4944	-192	32	16380	-104	204	16396
[accel]	4954	-268	88	16360	-220	284	16424
[accel]	4964	-56	-4	16368	-48	172	16412
[accel]	4974	-232	-60	16212	-80	152	16348
[accel]	4984	-132	68	16412	-136	260	16480
[accel]	4994	-176	4	16264	-8	224	16160
[accel]	5004	-164	-16	16360	-16	268	16412
[accel]	5014	-220	100	16320	-136	224	16284
[accel]	5024	-140	28	16404	-152	300	16436
[accel]	5035	-120	-52	16328	-200	208	16348
[accel]	5044	-196	40	16404	-172	220	16256
[accel]	5054	-204	12	16452	-76	188	16276
[accel]	5064	-284	120	16304	-56	280	16392
[accel]	5074	-164	-64	16356	-204	272	16460
[accel]	5084	-72	56	16344	-140	196	16412
[accel]	5094	-220	0	16296	-68	172	16312
[accel]	5104	-180	28	16344	-40	180	16376
[accel]	5114	-156	4	16436	-132	224	16492
[accel]	5124	-184	44	16344	-152	312	16464
[accel]	5134	-260	-36	16516	-76	180	16344
[accel]	5144	-240	28	16436	-96	204	16356
[accel]	5154	-200	40	16344	-212	152	16340
[accel]	5164	-248	8	16248	-136	236	16436
[accel]	5174	-220	0	16436	-96	220	16456
[accel]	5184	-264	40	16224	-188	124	16404
[accel]	5194	-152	40	16404	-76	248	16388
[accel]	5204	-244	20	16396	-140	268	16280
[accel]	5214	-248	4	16456	-164	196	16456
[accel]	5224	-152	8	16420	-92	224	16508
[accel]	5234	-180	76	16256	-92	268	16348
[accel]	5244	-256	-32	16332	-100	120	16356
[accel]	5254	-296	-12	16356	-120	120	16332
[accel]	5264	-140	44	16456	-112	184	16392
[accel]	5274	-160	-32	16432	-204	244	16332
[accel]	5284	-236	32	16356	-140	240	16280
[accel]	5294	-236	-56	16332	-192	312	16440
[accel]	5304	-200	72	16308	-96	280	16408
[accel]	5314	-160	120	16408	-124	196	16396
[accel]	5324	-296	-104	16412	-136	216	16452
[accel]	5334	-240	44	16340	-56	276	16284
[accel]	5344	-92	16	16352	-100	204	16276
[accel]	5354	-228	4	16436	-56	240	16436
[accel]	5364	-148	48	16416	-124	328	16396
[accel]	5374	-188	-52	16416	-148	212	16472
[accel]	5384	-236	32	16332	-180	320	16616
[accel]	5394	-224	16	16336	-48	128	16292
[accel]	5404	-260	44	16472	-240	288	16408
[accel]	5414	-156	124	16372	-84	280	16384
[accel]	5424	-220	-64	16192	-144	168	16372
[accel]	5434	-164	52	16300	-152	184	16400
[accel]	5444	-228	-24	16384	-144	216	16304
[accel]	5454	-212	-20	16424	-128	160	16384
[accel]	5464	-292	24	16312	-108	208	16232
