header	time	ax1	ay1	az1	ax2	ay2	az2
[accel]	2674	-200	68	16416	92	0	16348
[accel]	2684	-244	132	16360	104	108	16384
[accel]	2694	-200	92	16372	160	76	16272
[accel]	2704	-168	72	16312	72	28	16504
[accel]	2714	-168	196	16356	124	4	16332
[accel]	2724	-280	52	16432	56	40	16428
[accel]	2734	-288	132	16364	-4	96	16524
[accel]	2744	-164	148	16404	48	76	16476
[accel]	2754	-268	196	16328	88	12	16272
[accel]	2764	-192	200	16272	-4	44	16504
[accel]	2774	-268	200	16300	108	68	16340
[accel]	2784	-360	168	16320	136	68	16420
[accel]	2794	-284	208	16380	36	92	16320
[accel]	2804	-304	176	16412	28	24	16292
[accel]	2814	-212	128	16392	32	112	16312
[accel]	2824	-240	80	16256	68	112	16476
[accel]	2834	-200	220	16348	68	32	16328
[accel]	2844	-256	96	16364	128	92	16424
[accel]	2854	-232	124	16316	104	-44	16500
[accel]	2864	-160	84	16428	144	36	16388
[accel]	2874	-236	144	16364	108	12	16256
[accel]	2884	-144	68	16336	8	8	16284
[accel]	2894	-252	152	16396	144	20	16444
[accel]	2904	-228	168	16380	160	124	16400
[accel]	2914	-280	120	16368	108	0	16284
[accel]	2924	-248	116	16284	76	108	16304
[accel]	2934	-212	96	16400	108	76	16352
[accel]	2944	-288	224	16404	88	36	16332
[accel]	2954	-232	180	16336	92	68	16204
[accel]	2964	-160	212	16272	140	-24	16332
[accel]	2974	-292	76	16320	164	80	16452
[accel]	2984	-240	220	16456	108	24	16424
[accel]	2994	-272	240	16356	156	156	16328
[accel]	3004	-236	140	16404	208	0	16528
[accel]	3014	-196	136	16380	36	-76	16344
[accel]	3024	-116	224	16420	72	24	16388
[accel]	3034	-252	180	16368	128	-4	16524
[accel]	3044	-140	180	16312	220	-20	16244
[accel]	3054	-264	148	16416	164	4	16456
[accel]	3064	-192	124	16384	132	156	16364
[accel]	3074	-264	68	16452	144	-4	16384
[accel]	3084	-244	196	16444	52	116	16508
[accel]	3094	-200	88	16424	-68	-56	16516
[accel]	3104	-248	96	16264	148	40	16376
[accel]	3115	-312	60	16244	148	64	16400
[accel]	3124	-328	152	16364	20	108	16472
[accel]	3134	-252	64	16356	144	52	16404
[accel]	3144	-260	108	16232	152	112	16332
[accel]	3154	-232	136	16232	204	64	16472
[accel]	3164	-260	184	16548	56	52	16412
[accel]	3174	-308	132	16376	76	152	16396
[accel]	3184	-236	124	16332	32	40	16424
[accel]	3194	-104	208	16364	76	-52	16652
[accel]	3204	-212	152	16300	44	56	16300
[accel]	3214	-216	104	16112	92	76	16432
[accel]	3224	-280	224	16500	88	32	16396
[accel]	3234	-352	204	16484	140	80	16244
[accel]	3244	-264	176	16524	-72	28	16548
[accel]	3254	-308	192	16448	-16	60	16388
[accel]	3264	-248	152	16692	72	-12	16724
[accel]	3274	-228	176	16524	-68	68	16440
[accel]	3284	-272	172	16312	-44	24	16400
[accel]	3294	-372	112	16248	0	40	16540
[accel]	3304	-248	284	16144	48	52	16400
[accel]	3314	-256	176	16444	124	64	16412
[accel]	3324	-84	156	16420	132	44	16492
[accel]	3334	-160	32	16332	100	44	16204
[accel]	3344	-204	164	16088	12	40	16504
[accel]	3354	-256	164	16604	116	40	16428
[accel]	3364	-280	172	16256	176	-96	16424
[accel]	3374	-188	120	16276	140	-20	16264
[accel]	3384	-264	204	16444	148	0	16500
[accel]	3394	-256	144	16440	148	28	16416
[accel]	3404	-268	124	16308	164	32	16392
[accel]	3414	-264	272	16588	60	132	16552
[accel]	3424	-252	124	16072	256	20	16224
[accel]	3434	-276	188	16256	212	76	16700
[accel]	3444	-260	244	16240	156	100	16188
[accel]	3454	-192	-24	16312	208	12	16336
[accel]	3464	-280	188	16624	160	-124	16364
[accel]	3474	-156	192	16224	160	56	16360
[accel]	3484	-168	168	16220	72	56	16472
[accel]	3494	-156	220	16364	84	92	16200
[accel]	3504	-244	304	16424	136	112	16480
[accel]	3514	-160	244	16244	56	-28	16332
[accel]	3524	-168	136	16396	76	28	16280
[accel]	3534	-192	236	16416	244	-16	16416
[accel]	3544	-200	104	16268	112	108	16324
[accel]	3554	-284	112	16356	96	76	16392
[accel]	3564	-240	52	16636	60	60	16284
[accel]	3574	-208	132	16320	228	136	16456
[accel]	3584	-228	80	16208	228	52	16200
[accel]	3594	-160	192	16384	124	8	16472
[accel]	3604	-284	96	16344	164	68	16316
[accel]	3614	-276	244	16448	72	52	16636
[accel]	3624	-296	128	16524	72	96	16292
[accel]	3634	-168	140	16308	124	120	16120
[accel]	3644	-172	128	16384	36	4	16432
[accel]	3654	-212	196	16200	12	84	16460
[accel]	3664	-292	204	16476	-24	52	16504
[accel]	3674	-264	88	16256	88	-96	16448
[accel]	3684	-224	116	16424	140	12	16284
[accel]	3694	-144	208	16220	96	92	16548
[accel]	3704	-108	196	16312	124	160	16400
[accel]	3714	-304	224	16308	104	120	16404
[accel]	3724	-276	104	16256	276	48	16428
[accel]	3734	-152	148	16436	168	44	16440
[accel]	3744	-296	112	16392	76	-144	16336
[accel]	3755	-268	228	16476	260	64	16424
[accel]	3764	-208	236	16408	72	40	16424
[accel]	3774	-284	196	16380	68	76	16428
[accel]	3784	-256	184	16444	116	-16	16528
[accel]	3794	-236	200	16436	224	140	16132
[accel]	3804	-116	208	16508	64	0	16392
[accel]	3814	-280	96	16424	8	124	16320
[accel]	3824	-216	144	16408	172	224	16364
[accel]	3834	-344	160	16472	-48	112	16376
[accel]	3844	-172	144	16316	176	156	16348
[accel]	3854	-264	148	16480	68	68	16428
[accel]	3864	-252	60	16384	144	108	16560
[accel]	3874	-232	184	16392	112	-88	16324
[accel]	3884	-196	32	16344	28	8	16392
[accel]	3894	-212	176	16316	96	-16	16356
[accel]	3904	-240	60	16212	148	112	16372
[accel]	3914	-192	148	16432	64	16	16364
[accel]	3924	-200	148	16312	24	120	16464
[accel]	3934	-224	144	16332	132	60	16404
[accel]	3944	-216	184	16388	108	40	16432
[accel]	3954	-184	256	16228	92	-24	16276
[accel]	3964	-192	176	16356	108	88	16248
[accel]	3974	-308	148	16428	52	156	16244
[accel]	3984	-240	152	16236	-4	132	16300
[accel]	3994	-276	124	16256	16	36	16360
[accel]	4004	-220	164	16356	88	32	16512
[accel]	4014	-216	192	16380	164	44	16356
[accel]	4024	-244	12	16356	104	36	16476
[accel]	4034	-312	288	16368	88	96	16324
[accel]	4044	-256	112	16404	80	20	16412
[accel]	4054	-164	168	16332	84	96	16212
