ax	ay	az
-0.056610107	9.584656	1.9390106
-0.054214478	9.584656	1.9342194
-0.056610107	9.587036	1.9390106
-0.051818848	9.584656	1.9437866
-0.059005737	9.584656	1.9414062
-0.06617737	9.587036	1.9318237
-0.068573	9.591827	1.9126892
-0.068573	9.594223	1.895935
-0.07096863	9.599014	1.8744049
-0.07336426	9.60379	1.8552551
-0.07814026	9.606186	1.8385162
-0.08053589	9.60379	1.8313293
-0.07336426	9.60379	1.8385162
-0.07096863	9.606186	1.8289337
-0.07096863	9.610977	1.8074036
-0.068573	9.610977	1.8026123
-0.06617737	9.608582	1.7978363
-0.056610107	9.608582	1.8002319
-0.044647217	9.60379	1.8289337
-0.042251587	9.601395	1.8528595
-0.042251587	9.594223	1.8696136
-0.027893066	9.591827	1.8887634
-0.027893066	9.589432	1.9007263
-0.042251587	9.591827	1.8887634
-0.047042847	9.594223	1.8648376
-0.049438477	9.596619	1.8552551
-0.051818848	9.596619	1.862442
-0.044647217	9.596619	1.8768005
-0.047042847	9.596619	1.867218
-0.054214478	9.601395	1.8456879
-0.047042847	9.608582	1.8193665
-0.047042847	9.610977	1.7834778
-0.049438477	9.618149	1.7404022
-0.056610107	9.620544	1.7045135
-0.059005737	9.627716	1.6686249
-0.054214478	9.627716	1.6542664
-0.056610107	9.630112	1.6470795
-0.059005737	9.632507	1.632721
-0.06617737	9.632507	1.627945
-0.059005737	9.637299	1.6303406
-0.059005737	9.639679	1.6231537
-0.061401367	9.642075	1.6087952
-0.061401367	9.639679	1.6183777
-0.06617737	9.642075	1.620758
-0.068573	9.642075	1.6111908
-0.068573	9.642075	1.6063995
-0.07096863	9.642075	1.5920563
-0.07096863	9.64447	1.5681152
-0.08053589	9.646866	1.5394135
-0.09249878	9.654037	1.4915466
-0.09968567	9.658829	1.4460907
-0.10925293	9.66362	1.4173737
-0.11404419	9.666	1.3982239
-0.1068573	9.666	1.4006195
-0.09249878	9.661224	1.4221649
-0.08532715	9.661224	1.4484863
-0.07814026	9.658829	1.4604492
-0.07096863	9.656433	1.4676208
-0.07336426	9.656433	1.4628296
-0.07096863	9.661224	1.4532623
-0.068573	9.661224	1.4508667
-0.06378174	9.66362	1.4389038
-0.07096863	9.666	1.4197693
-0.07814026	9.670792	1.3958435
-0.08293152	9.673187	1.3742981
-0.08772278	9.673187	1.3671265
-0.08772278	9.673187	1.3671265
-0.08532715	9.673187	1.3766937
-0.08772278	9.675583	1.381485
-0.08772278	9.677963	1.381485
-0.08532715	9.675583	1.3838806
-0.07574463	9.673187	1.3934479
-0.07336426	9.668396	1.414978
-0.07336426	9.668396	1.4245453
-0.07574463	9.668396	1.4197693
-0.07814026	9.670792	1.4197693
-0.08293152	9.668396	1.4173737
-0.08532715	9.670792	1.4006195
-0.09010315	9.673187	1.3838806
-0.09489441	9.675583	1.3623352
-0.09010315	9.680359	1.3575592
-0.08772278	9.677963	1.3599396
-0.08293152	9.677963	1.352768
-0.08293152	9.675583	1.3479767
-0.07814026	9.675583	1.3575592
-0.07814026	9.675583	1.3671265
-0.068573	9.670792	1.386261
-0.061401367	9.666	1.4197693
-0.059005737	9.661224	1.4341278
-0.059005737	9.661224	1.4365082
-0.06378174	9.66362	1.4221649
-0.07336426	9.668396	1.3934479
-0.08293152	9.670792	1.3695221
-0.08772278	9.673187	1.3575592
-0.09010315	9.673187	1.340805
-0.08772278	9.675583	1.3264465
-0.08293152	9.680359	1.3144836
-0.08772278	9.6827545	1.2953339
-0.09010315	9.687546	1.2714081
-0.09010315	9.689941	1.2594452
-0.08532715	9.689941	1.2642365
-0.08772278	9.689941	1.278595
-0.08772278	9.689941	1.2857666
-0.08532715	9.689941	1.3001251
-0.08293152	9.687546	1.3216553
-0.07814026	9.68515	1.3432007
-0.07096863	9.677963	1.3671265
-0.068573	9.675583	1.3838806
-0.07096863	9.675583	1.3934479
-0.07096863	9.673187	1.3958435
-0.07096863	9.670792	1.3934479
