sensor	time	ax	ay	az
1	1657	1652	-240	15736
2	1657	-456	392	22964
1	1667	1588	-212	15704
2	1667	-464	368	23108
1	1677	1700	-328	15744
2	1677	-532	400	22892
1	1687	1612	-296	15620
2	1687	-504	252	22860
1	1697	1652	-176	15700
2	1697	-604	300	23020
1	1707	1636	-280	15720
2	1707	-476	316	22888
1	1717	1704	-244	15716
2	1717	-572	208	22908
1	1727	1672	-200	15756
2	1727	-568	408	23112
1	1737	1536	-312	15588
2	1737	-560	356	22952
1	1747	1652	-204	15744
2	1747	-500	332	22952
1	1757	1576	-172	15744
2	1757	-580	312	22956
1	1767	1608	-208	15652
2	1767	-504	332	23068
1	1777	1604	-212	15716
2	1777	-564	296	22952
1	1787	1660	-284	15772
2	1787	-528	284	22816
1	1797	1576	-128	15724
2	1797	-388	244	23020
1	1807	1656	-164	15812
2	1807	-464	284	23084
1	1817	1520	-256	15720
2	1817	-424	380	22976
1	1827	1648	-368	15652
2	1827	-632	316	23020
1	1837	1680	-280	15768
2	1837	-536	324	23032
1	1847	1584	-240	15644
2	1847	-416	316	22980
1	1857	1644	-228	15672
2	1857	-508	368	22940
1	1867	1596	-288	15804
2	1867	-568	216	23060
1	1878	1688	-248	15600
2	1878	-432	308	22980
1	1887	1584	-304	15716
2	1887	-484	368	22936
1	1897	1560	-256	15728
2	1897	-520	224	23000
1	1907	1688	-280	15540
2	1907	-464	316	23048
1	1917	1588	-160	15772
2	1917	-524	284	23052
1	1927	1688	-280	15668
2	1927	-496	228	22984
1	1937	1652	-268	15660
2	1937	-464	352	22916
1	1947	1556	-256	15720
2	1947	-548	340	23068
1	1957	1568	-312	15616
2	1957	-528	280	22988
1	1967	1732	-240	15636
2	1967	-596	272	22892
1	1977	1620	-264	15652
2	1977	-524	368	22808
1	1987	1576	-316	15608
2	1987	-556	392	22904
1	1997	1616	-272	15772
2	1997	-540	272	22928
1	2007	1708	-168	15672
2	2007	-564	456	23000
1	2017	1512	-312	15704
2	2017	-476	388	23068
1	2027	1624	-304	15704
2	2027	-424	312	22948
1	2037	1592	-248	15552
2	2037	-556	324	22952
1	2048	1560	-264	15808
2	2048	-464	292	22908
1	2057	1640	-280	15604
2	2057	-472	320	23008
1	2067	1660	-208	15672
2	2067	-464	320	23052
1	2077	1560	-312	15744
2	2077	-568	388	22904
1	2087	1584	-320	15704
2	2087	-428	364	23104
1	2097	1636	-304	15788
2	2097	-548	268	23052
1	2107	1652	-372	15636
2	2107	-524	344	23020
1	2117	1644	-248	15588
2	2117	-504	356	22972
1	2127	1680	-276	15728
2	2127	-504	432	23124
1	2137	1716	-248	15836
2	2137	-504	364	22940
1	2147	1656	-348	15860
2	2147	-520	344	22964
1	2157	1696	-280	15608
2	2157	-512	316	22968
1	2167	1632	-284	15760
2	2167	-476	368	22924
1	2177	1624	-244	15688
2	2177	-420	380	23068
1	2187	1628	-248	15756
2	2187	-528	340	22784
1	2197	1736	-252	15748
2	2197	-420	380	23012
1	2207	1624	-244	15692
2	2207	-608	312	22916
1	2217	1544	-240	15612
2	2217	-436	372	22964
1	2227	1608	-328	15700
2	2227	-472	396	23060
1	2237	1652	-212	15672
2	2237	-536	276	22984
1	2247	1660	-320	15656
2	2247	-508	304	22968
1	2257	1644	-368	15704
2	2257	-488	308	22916
1	2267	1620	-272	15704
2	2267	-528	308	23008
1	2277	1528	-252	15720
2	2277	-512	308	22992
1	2287	1688	-348	15828
2	2287	-484	176	22952
1	2297	1596	-216	15556
2	2297	-464	320	22936
1	2307	1492	-272	15720
2	2307	-484	316	22952
1	2317	1644	-308	15704
2	2317	-472	332	22824
1	2327	1624	-276	15740
